Place of Origin,TOTAL STUDENTS,Business/ Mgmt.,Education,Engineering*,Fine/ Applied Arts,Health Professions*,Humanities,Intensive English,Math/ Computer Science*,Physical/ Life Sciences*,Social Sciences,Other Fields of Study,Undeclared
Bangladesh,"8,249",7.8,0.8,40.4,1.8,3.4,1.0,0.1,17.7,15.3,5.9,5.0,0.9
Brazil,"16,059",23.3,1.8,12.6,7.8,2.8,3.0,4.2,5.4,8.8,9.1,19.3,2.1
Canada,"26,122",16.3,2.8,8.9,9.2,14.0,3.4,0.0,5.3,9.8,10.8,16.4,3.2
China,"369,548",18.9,1.7,18.0,6.5,1.4,1.0,1.7,19.9,8.4,9.1,11.0,2.3
Colombia,"8,060",19.3,2.8,14.2,10.6,2.3,3.9,4.5,5.6,10.0,10.1,15.3,1.3
France,"8,716",22.6,0.8,13.9,6.2,1.3,5.5,0.9,6.4,5.7,10.6,22.1,4.0
Germany,"9,191",26.1,1.2,9.4,4.1,1.7,5.0,0.4,5.1,7.4,12.8,22.1,4.7
Hong Kong,-,-,-,-,-,-,-,-,-,-,-,-,-
India,"202,014",10.3,0.4,34.2,1.9,3.2,0.4,0.1,37.0,5.6,2.4,3.7,0.7
Indonesia,"8,356",27.4,2.4,16.7,6.6,1.5,1.6,1.0,10.0,6.5,8.7,14.9,2.6
Iran,"12,142",4.6,1.9,52.1,4.4,2.4,1.1,0.2,13.5,12.4,3.9,3.3,0.3
Japan,"18,105",17.9,2.3,4.8,7.3,2.7,3.6,13.5,4.7,4.6,11.5,22.7,4.4
Kenya,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,"9,195",12.3,0.6,63.8,1.5,1.6,0.8,6.1,1.4,3.7,3.6,3.8,0.9
Malaysia,"7,709",17.3,1.4,25.8,5.0,2.4,1.1,0.4,10.7,12.5,11.1,9.3,3.2
Mexico,"15,229",18.6,2.9,16.2,8.6,3.6,3.8,3.1,5.6,9.6,9.5,16.5,2.0
Nepal,"13,229",11.3,0.6,19.0,1.9,5.4,0.6,0.1,28.5,20.7,4.4,6.2,1.2
Nigeria,"13,423",13.4,1.9,21.5,2.7,13.7,2.1,0.2,11.3,13.4,6.9,12.0,0.9
Pakistan,"7,957",17.6,1.7,24.6,2.2,2.9,1.9,0.8,16.7,8.0,10.5,9.7,3.5
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,"37,080",18.8,3.3,30.2,2.2,8.1,1.4,7.4,9.6,6.5,3.7,7.6,1.3
South Korea,"52,250",14.0,2.6,13.5,12.6,5.0,3.2,2.2,10.8,7.8,11.6,14.0,2.7
Spain,"7,262",24.4,1.7,14.6,5.3,2.1,8.6,0.9,4.7,6.8,8.7,18.6,3.5
Taiwan,"23,369",19.1,2.2,17.4,10.2,3.8,1.7,2.6,13.4,9.5,6.2,11.8,2.2
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
Turkey,"10,159",14.1,3.1,26.1,7.4,1.2,2.7,1.6,12.0,7.9,13.8,8.4,1.8
United Kingdom,"11,146",18.1,2.6,4.7,7.6,3.3,5.8,0.1,4.7,8.1,15.5,23.5,6.0
Venezuela,"7,760",25.3,1.2,18.2,8.6,3.4,2.2,6.2,5.3,4.8,6.1,17.4,1.2
Vietnam,"24,392",28.5,1.0,10.9,5.3,4.6,1.6,3.1,14.2,9.6,5.1,13.2,2.9
